Title,Year,Available,Available On,Match Type
Parasite,2019,False,—,None
1917,2019,True,"TheBox, JeSTeRPLeX, Z'Films",Title+Year
(500) Days of Summer,2009,True,"TheBox, JeSTeRPLeX",Fuzzy
Okja,2017,False,—,None
10 Things I Hate About You,1999,True,"JeSTeRPLeX, Z'Films",Title+Year
28 Days Later,2002,True,TheBox,Title+Year
Almost Famous,2000,True,RipItGood,Title+Year
Chernobyl,2019,False,—,None
Zombieland: Double Tap,2019,False,—,None
Moneyball,2011,True,JeSTeRPLeX,Title+Year
Steve Jobs,2015,False,—,None
She's the Man,2006,True,"RipItGood, JeSTeRPLeX, Z'Films",Title+Year
O.J.: Made in America,2016,False,—,None
Nathan for You: Finding Frances,2017,False,—,None
Pink Floyd: Live at Pompeii,1972,False,—,None
The Salt of the Earth,2014,False,—,None
American Movie,1999,False,—,None
Senna,2010,True,TheBox,Title+Year
Hearts of Darkness: A Filmmaker's Apocalypse,1991,False,—,None
News from Home,1976,False,—,None
Paradise Lost: The Child Murders at Robin Hood Hills,1996,False,—,None
For All Mankind,1989,False,—,None
Faces Places,2017,False,—,None
Stalker,1979,True,TheBox,Title+Year
La Haine,1995,False,—,None
Howl's Moving Castle,2004,True,"RipItGood, TheBox, JeSTeRPLeX, Z'Films",Title+Year
Le Samouraï,1967,False,—,None
Das Boot,1981,False,—,None
PlayTime,1967,False,—,None
The Man Who Sleeps,1974,False,—,None
Electric Dreams,1984,False,—,None
Valley Girl,1983,True,"RipItGood, TheBox",Title+Year
Hands on a Hardbody: The Documentary,1997,True,TheBox,Title+Year
HyperNormalisation,2016,False,—,None
Ron's Gone Wrong,2021,True,JeSTeRPLeX,Title+Year
Threads,1984,False,—,None
Johnny Got His Gun,1971,False,—,None
Pontypool,2008,False,—,None
Blood Diamond,2006,True,"RipItGood, TheBox",Title+Year
Swiss Army Man,2016,True,TheBox,Title+Year
Multiplicity,1996,True,"RipItGood, TheBox, JeSTeRPLeX",Title+Year
The Sting,1973,True,JeSTeRPLeX,Title+Year
